Query,Expected Answer,Context
What is the operational clinical definition of asthma according to global management guidelines?,"Asthma is a heterogeneous disease, usually characterized by chronic airway inflammation. It is defined by the history of respiratory symptoms such as wheeze, shortness of breath, chest tightness, and cough that vary over time and in intensity, together with variable expiratory airflow limitation.","[GINA Asthma WMS.pdf, p. 26] Asthma is a heterogeneous disease, usually characterized by chronic airway inflammation. It is defined by the history of respiratory symptoms, such as wheeze, shortness of breath, chest tightness and cough, that vary over time and vary in intensity, together with variable expiratory airflow. Airflow limitation may later become persistent. Asthma is usually associated with airway hyperresponsivenes... | [GINA Asthma WMS.pdf, p. 27] asthma that may be life-threatening and place a significant burden on patients and the community. Most asthma deaths occur in low- and middle-income countries.4 Asthma is usually associated with airway hyperresponsiveness to direct or indirect stimuli, and with chronic airway inflammation. These features usually persist, even when symptoms are absent or lung function is normal, but may normalize w... | [WHO asthma.pdf, p. 19] 1. Introduction | [WHO asthma.pdf, p. 20] asthma and other chronic airway diseases. Although these conditions differ in their underlying pathophysiology and natural history, they often present with similar clinical features, including wheeze, tachypnoea, chest indrawing and varying degrees of hypoxaemia, particularly during acute episodes. Bronchiolitis typically affects infants in the first 2 years of life, with the highest incidence occ... | [WHO asthma.pdf, p. 25] Management of asthma in children and adolescents..."
How does family history and atopy influence an individual's susceptibility to asthma?,"Family history of asthma or atopic diseases (allergic rhinitis, eczema) significantly increases individual susceptibility. Children with one atopic parent have a 2- to 3-fold higher risk, and those with two atopic parents have up to a 5-fold higher risk of developing asthma.","[GINA Asthma WMS.pdf, p. 27] family history of allergic disease such as eczema, allergic rhinitis, or food or drug allergy. Examination of the induced sputum of these patients before treatment often reveals eosinophilic airway inflammation. Allergic asthma usually responds well to ICS treatment. • Non-allergic asthma: Some patients have asthma that is not associated with allergy. The cellular profile of the sputum of these pa... | [GINA Asthma WMS.pdf, p. 230] 13. Primary prevention of asthma 229 13. Primary prevention of asthma KEY POINTS Children The development and persistence of asthma are driven by gene–environment interactions. There is assumed to be a “window of opportunity” in utero and in early life to prevent asthma in children, but intervention studies are limited. Factors associated with increased or decreased risk of asthma in children can ... | [WHO asthma.pdf, p. 20] Respiratory illness is a leading cause of morbidity among children globally, with both acute and chronic conditions contributing substantially to outpatient visits and hospital admissions throughout infancy, childhood and adolescence (4). Among the diverse clinical presentations of paediatric respiratory disease, wheeze is one of the most frequent and clinically important. Wheeze, defined as a hig... | [WHO asthma.pdf, p. 25] 3. Management of asthma in children and adolescents | [GINA Asthma WMS.pdf, p. 231] 230 13. Primary prevention of asthma DIETARY FACTORS BY MOTHER AND/OR CHILD AND RISK OF ASTHMA IN CHILDREN Nutrition of mother and/or child Maternal diet A large body of research investigating the development of allergy and asthma in children has focused on the mother’s diet during pregnancy. Current evidence does not clearly demonstrate that ingestion of any specific foods during pregnancy increa..."
What is the impact of maternal smoking during pregnancy and secondhand smoke exposure on child asthma risk?,Maternal smoking during pregnancy impairs fetal lung development and markedly increases the risk of recurrent wheezing and asthma in early childhood. Secondhand smoke exposure in infancy and childhood further increases exacerbation frequency and severity.,"[GINA Asthma WMS.pdf, p. 230] 13. Primary prevention of asthma 229 13. Primary prevention of asthma KEY POINTS Children The development and persistence of asthma are driven by gene–environment interactions. There is assumed to be a “window of opportunity” in utero and in early life to prevent asthma in children, but intervention studies are limited. Factors associated with increased or decreased risk of asthma in children can ... | [GINA Asthma WMS.pdf, p. 231] 230 13. Primary prevention of asthma DIETARY FACTORS BY MOTHER AND/OR CHILD AND RISK OF ASTHMA IN CHILDREN Nutrition of mother and/or child Maternal diet A large body of research investigating the development of allergy and asthma in children has focused on the mother’s diet during pregnancy. Current evidence does not clearly demonstrate that ingestion of any specific foods during pregnancy increa... | [WHO asthma.pdf, p. 20] Respiratory illness is a leading cause of morbidity among children globally, with both acute and chronic conditions contributing substantially to outpatient visits and hospital admissions throughout infancy, childhood and adolescence (4). Among the diverse clinical presentations of paediatric respiratory disease, wheeze is one of the most frequent and clinically important. Wheeze, defined as a hig... | [WHO asthma.pdf, p. 28] For patients with moderate or severe symptoms, prompt treatment with oral corticosteroids, for example, prednisolone or dexamethasone is advised. Administration of corticosteroids significantly reduces the need for hospital admission when given within 1 hour of presentation for emergency care and reduces relapse of symptoms (26, 27). In patients who are not able to tolerate oral medication, the in... | [GINA Asthma WMS.pdf, p. 64] smoking, environmental tobacco exposure (ETS) and vaping • At every visit, strongly encourage people with asthma who smoke or vape to quit. Provide access to counseling and smoking cessation programs (if available). A • Advise parents/caregivers of children with asthma not to smoke or vape, and not to allow smoking or vaping in rooms or cars that their children use. A • Strongly encourage people w..."
What are the most prevalent indoor and outdoor allergen triggers for asthma symptoms?,"Prevalent indoor allergen triggers include house dust mites, domestic pets (cats, dogs), cockroaches, and indoor molds. Outdoor triggers include grass, tree, and weed pollens, as well as outdoor molds (Alternaria, Cladosporium).","[GINA Asthma WMS.pdf, p. 64] allergens or irritants • Ask all patients with adult-onset asthma about their work history and other exposures to irritant gases or particles, including at home. D • In management of occupational asthma, identify and eliminate occupational sensitizers as soon as possible, and remove sensitized patients from any further exposure to these agents. A • Patients with suspected or confirmed occupational... | [GINA Asthma WMS.pdf, p. 65] 64 3. Non-pharmacological strategies (adults, adolescents, children 6–11 years) Avoidance of medications that may make asthma worse • Always ask people with asthma about concomitant medications. D • Aspirin and NSAIDs (non-steroidal anti-inflammatory drugs) are not generally contraindicated unless there is a history of previous reactions to these agents (see p.138). A • Decide about prescription o... | [GINA Asthma WMS.pdf, p. 66] 3. Non-pharmacological strategies (adults, adolescents, children 6–11 years) 65 Addressing social risk • In US studies, comprehensive social risk interventions were associated with reduced emergency department visits and hospitalizations for children. Studies from other countries and settings are needed. A Avoidance of outdoor air pollutants/weather conditions • During unfavorable environmental co... | [WHO asthma.pdf, p. 20] Respiratory illness is a leading cause of morbidity among children globally, with both acute and chronic conditions contributing substantially to outpatient visits and hospital admissions throughout infancy, childhood and adolescence (4). Among the diverse clinical presentations of paediatric respiratory disease, wheeze is one of the most frequent and clinically important. Wheeze, defined as a hig... | [WHO asthma.pdf, p. 28] For patients with moderate or severe symptoms, prompt treatment with oral corticosteroids, for example, prednisolone or dexamethasone is advised. Administration of corticosteroids significantly reduces the need for hospital admission when given within 1 hour of presentation for emergency care and reduces relapse of symptoms (26, 27). In patients who are not able to tolerate oral medication, the in..."
How do viral respiratory infections act as major triggers for acute asthma exacerbations?,"Viral respiratory infections (especially human rhinovirus and respiratory syncytial virus) induce mucosal inflammation, epithelial disruption, and hyperresponsiveness in the airways, making them the most frequent trigger for acute asthma exacerbations in children and adults.","[GINA Asthma WMS.pdf, p. 27] 26 1. Diagnosis (adults, adolescents, children 6–11 years) respiratory infections. Symptoms and airflow limitation may resolve spontaneously or in response to medication, and may sometimes be absent for weeks or months at a time. Conversely, patients can experience episodic flare-ups (exacerbations, attacks) of asthma that may be life-threatening and place a significant burden on patients and the ... | [GINA Asthma WMS.pdf, p. 171] respiratory rate, oxygen saturation and lung function (usually PEF), while starting SABA and oxygen therapy if needed. Objective measurement of the severity of airflow limitation is strongly recommended. If the patient presents with features of anaphylaxis as well as asthma, give epinephrine (adrenaline) first. Arrange immediate transfer to an acute care facility if there are signs of severe exace... | [WHO asthma.pdf, p. 20] viral bronchiolitis or other causes of small-airway obstruction. In older children and adolescents, wheeze is more often associated with asthma and other chronic airway diseases. Although these conditions differ in their underlying pathophysiology and natural history, they often present with similar clinical features, including wheeze, tachypnoea, chest indrawing and varying degrees of hypoxaemia,... | [WHO asthma.pdf, p. 26] acute asthma, attacks, flare-ups or exacerbations. In this document, the term exacerbation will be used. Acute asthma is commonly triggered by viral respiratory tract infections, exercise, change in weather and exposure to allergens (such as tree and grass pollen) and irritants (such as tobacco smoke or air pollution) (22). Treatment aims to reduce airway smooth muscle constriction using bronchodi... | [WHO asthma.pdf, p. 56] RSV), but other viruses including adenovirus, human metapneumovirus, influenza and parainfluenza contribute significantly (154, 155). Children with viral bronchiolitis are at increased risk of invasive bacterial infections, including pneumonia, and have a higher risk of developing asthma and recurrent wheezing in later childhood (156-158). Severe disease is more common among preterm babies, childr..."
"What is exercise-induced bronchoconstriction (EIB), and how should it be managed?","EIB is acute airflow obstruction occurring during or immediately after physical exertion due to airway drying and cooling. It is managed by ensuring regular daily ICS controller therapy, which prevents EIB, or using low-dose ICS-formoterol (or SABA) before exercise.","[GINA Asthma WMS.pdf, p. 33] 32 1. Diagnosis (adults, adolescents, children 6–11 years) How much variation in expiratory airflow is consistent with asthma? Responsiveness (previously called “reversibility”)38 generally refers to rapid improvements in FEV1 (or PEF), measured within minutes after inhalation of a rapid-acting bronchodilator such as 200–400 mcg salbutamol (albuterol), or more sustained improvement over days or we... | [GINA Asthma WMS.pdf, p. 67] Breakthrough exercise-related symptoms can be managed with warm-up before exercise,79 and/or by taking SABA79 or low-dose ICS-formoterol266 before or during exercise. Advice • Encourage people with asthma to engage in regular physical activity because of its general health benefits (Evidence A). However, regular physical activity confers no specific benefit on lung function or asthma symptoms per ... | [GINA Asthma WMS.pdf, p. 88] 4. Medications (adults, adolescents) 87 • Even modest over-use of SABA (indicated by dispensing of 3 or more 200-dose canisters a year) is associated with increased risk of severe exacerbations102 and, in one study, asthma mortality.103 • Even occasional courses of OCS are associated with a significant increase in risk of cumulative long-term adverse effects, including osteoporosis, diabetes, hear... | [WHO asthma.pdf, p. 28] children, suggest that there should be changes in the way that these medicines are used (22); hence, the need to review the available evidence for children and adolescents. 3.3 Scope and target audience This guideline reviews the current evidence to inform the recommendations for children and adolescents aged <19 years diagnosed with asthma. It is not intended to encompass all aspects of the acute... | [GINA Asthma WMS.pdf, p. 89] SABA (Evidence A).255,352-356 In a meta-analysis, switching patients with uncontrolled asthma from Step 3 treatment plus SABA reliever to MART was associated with a 29% reduced risk of severe exacerbation, compared with stepping up to Step 4 ICS-LABA maintenance plus SABA reliever, and a 30% reduced risk, compared with staying on the same treatment with SABA reliever.357 In open-label studies that..."
"Which medications can trigger severe asthma attacks, and how should patients be evaluated?","Non-steroidal anti-inflammatory drugs (NSAIDs, including aspirin) and non-selective beta-blockers (including eye drops) can trigger severe or fatal asthma attacks. Evaluation requires screening for aspirin-exacerbated respiratory disease (AERD) in patients with asthma and nasal polyps.","[GINA Asthma WMS.pdf, p. 34] 1. Diagnosis (adults, adolescents, children 6–11 years) 33 Box 1-4. Steps for confirming the diagnosis of asthma in a patient already taking ICS-containing treatment Current status Steps to confirm the diagnosis of asthma Typical and variable respiratory symptoms and variable expiratory airflow Diagnosis of asthma is confirmed. Assess the level of asthma control (Box 2-2A and Box 2-2B, p.41) and r... | [GINA Asthma WMS.pdf, p. 133] 132 6. Multimorbidity and specific populations Before prescribing antiviral therapies, consult local prescribing guidelines. Check carefully for potential interactions between asthma therapy and COVID-19 therapy. For example, ritonavir-boosted nirmatrelvir (NMV/r) is a potent cytochrome P34 (CYP3A4) inhibitor. While this is unlikely to cause clinically important corticosteroid-related adverse effe... | [GINA Asthma WMS.pdf, p. 134] 6. Multimorbidity and specific populations 133 purchase, practical issues of cleaning, and inconvenience for ambulatory use. Effective spacers can be made at no cost from plastic drink bottles.617 Medicines selected as “essential” are not necessarily the most effective or convenient, particularly for patients with more severe disease, and a limited choice does not allow for consideration of patien... | [WHO asthma.pdf, p. 28] For patients with moderate or severe symptoms, prompt treatment with oral corticosteroids, for example, prednisolone or dexamethasone is advised. Administration of corticosteroids significantly reduces the need for hospital admission when given within 1 hour of presentation for emergency care and reduces relapse of symptoms (26, 27). In patients who are not able to tolerate oral medication, the in... | [GINA Asthma WMS.pdf, p. 65] patients with asthma to consume a diet high in fruit and vegetables for its general health benefits. A Avoidance of indoor allergens • Allergen avoidance is not recommended as a general strategy in asthma. A • For sensitized patients, there is limited evidence of clinical benefit for asthma in most circumstances with single-strategy indoor allergen avoidance. A • Remediation of dampness or mold in..."
What parameters are evaluated to determine a patient's level of symptom control over the past 4 weeks?,"Symptom control is assessed using 4 questions regarding the past 4 weeks: (1) daytime symptoms > 2 times/week, (2) any night waking due to asthma, (3) SABA reliever needed > 2 times/week, and (4) any activity limitation. 0 'yes' = well controlled, 1–2 = partly controlled, 3–4 = uncontrolled.","[GINA Asthma WMS.pdf, p. 40] GINA suggests that the term “mild asthma” should generally be avoided in clinical practice if possible or, if used, qualified with a reminder that patients with infrequent symptoms can still have severe or fatal exacerbations, and that this risk is substantially reduced with ICS-containing treatment. How to assess a patient’s asthma Assess symptom control from the frequency of daytime and night-ti... | [GINA Asthma WMS.pdf, p. 41] 40 2. Assessment of asthma (adults, adolescents, children 6–11 years) OVERVIEW The long-term goal of asthma treatment is to achieve the best possible long-term outcomes for the patient (Box 3-2, p.55). For every patient, assessment of asthma should include the assessment of asthma control (both symptom control and future risk of adverse outcomes), treatment issues (particularly inhaler technique a... | [GINA Asthma WMS.pdf, p. 42] 2. Assessment of asthma (adults, adolescents, children 6–11 years) 41 Box 2-2. GINA assessment of asthma control at clinical visits in adults, adolescents and children 6–11 years A. Recent asthma symptom control (but also ask the patient/caregiver about the whole period since last review*) In the past 4 weeks, has the patient had: Well controlled Partly controlled Uncontrolled • Daytime asthma sym... | [WHO asthma.pdf, p. 28] For patients with moderate or severe symptoms, prompt treatment with oral corticosteroids, for example, prednisolone or dexamethasone is advised. Administration of corticosteroids significantly reduces the need for hospital admission when given within 1 hour of presentation for emergency care and reduces relapse of symptoms (26, 27). In patients who are not able to tolerate oral medication, the in... | [GINA Asthma WMS.pdf, p. 43] reliever medication.97,137 If the term “asthma control” is used with patients, the meaning should always be explained. ASSESSING ASTHMA SYMPTOM CONTROL Asthma symptoms such as wheeze, chest tightness, shortness of breath and cough typically vary in frequency and intensity, and contribute to the burden of asthma for the patient. Poor symptom control is also strongly associated with an increased ris..."
What independent clinical risk factors increase a patient's risk of future asthma exacerbations?,"Independent risk factors for exacerbations include: history of >= 1 exacerbation in the past 12 months, poor adherence, incorrect inhaler technique, high SABA use (>= 3 canisters/year), low baseline FEV1, elevated blood eosinophils or FeNO, smoking, and major psychosocial problems.","[GINA Asthma WMS.pdf, p. 42] Independent risk factors after adjustment for the level of symptom control. Some studies have evaluated several of the above risk factors for exacerbations;99-101 § Cytochrome P450 inhibitors such as ritonavir, ketoconazole, itraconazole may increase systemic exposure to some types of ICS and some long-acting beta2-agonists; see drug interaction websites and p.131 for details. For children 6–11 ye... | [GINA Asthma WMS.pdf, p. 43] 42 2. Assessment of asthma (adults, adolescents, children 6–11 years) How to describe a patient’s asthma control Asthma control should be described in terms of both symptom control and future risk domains. For example: Ms X has good asthma symptom control, but she is at increased risk of future exacerbations because she has had a severe exacerbation within the last year. Mr Y has poor asthma sympt... | [GINA Asthma WMS.pdf, p. 44] low limitation. For these reasons, data for ACQ-5, ACQ-6 and ACQ-7 cannot be combined for meta-analysis. • Asthma Control Test (ACT):146,154,155 Scores range from 5–25 (higher is better). Scores of 20–25 are classified as “well-controlled”, 16–19 as “not well-controlled”, and 5–15 as “very poorly controlled” asthma. The ACT has four symptom/ reliever questions plus patient self-assessed control. T... | [WHO asthma.pdf, p. 28] prioritized PICO questions discussed in section 4 are outlined in Annex 1. 10 WHO consolidated guidelines for the management of common childhood illness: management of asthma in children and adolescents and bronchiolitis in infants and young children Introduction and context Process and methods Management of asthma in children and adolescents Management of bronchiolitis in children aged less than ... | [GINA Asthma WMS.pdf, p. 45] 44 2. Assessment of asthma (adults, adolescents, children 6–11 years) Box 2-3. Specific questions for assessment of asthma in children 6–11 years Asthma symptom control Day symptoms Ask: How often does the child have cough, wheeze, dyspnea or heavy breathing (number of times per week or day)? What triggers the symptoms? How are symptoms managed? Night symptoms Cough, awakenings, tiredness during t..."
How is asthma severity categorized based on treatment required for symptom control?,Asthma severity is assessed retrospectively from the level of treatment required: Mild asthma is controlled with Step 1 or Step 2 treatment. Moderate asthma is controlled with Step 3 or Step 4 treatment. Severe asthma requires Step 5 treatment or remains uncontrolled despite Step 4 high-dose treatment.,"[GINA Asthma WMS.pdf, p. 47] asthma (adults, adolescents, children 6–11 years) Risk factors for exacerbations Poor asthma symptom control itself substantially increases the risk of exacerbations.138-140 However, several additional independent risk factors have been identified, i.e., factors that, when present, increase the patient’s risk of exacerbations even if symptoms are few. These risk factors (Box 2-2B, p.41) include a ... | [GINA Asthma WMS.pdf, p. 151] severe asthma DEFINITIONS: UNCONTROLLED, DIFFICULT-TO-TREAT, AND SEVERE ASTHMA Understanding the definitions of difficult-to-treat and severe asthma starts with the concept of uncontrolled asthma. Uncontrolled asthma includes one or both of the following: • Poor symptom control (frequent symptoms or reliever use, activity limited by asthma, night waking due to asthma) • Frequent exacerbations (≥2/... | [WHO asthma.pdf, p. 25] 3. Management of asthma in children and adolescents | [WHO asthma.pdf, p. 26] Asthma is a chronic respiratory illness, and one of the main NCDs included in WHO’s Global Action Plan for the Prevention and Control of Noncommunicable Diseases 2013–2030 (19). Every year, an estimated 426 000 people die from asthma, with half of these deaths in people aged less than 70 years. Over 95% of these premature deaths occur in LMICs (4). Asthma is a major cause of morbidity in young peo... | [GINA Asthma WMS.pdf, p. 48] severity and clinical course (Evidence D). Once the diagnosis of asthma has been confirmed, it is not generally necessary to ask patients to withhold their regular or as-needed medications before visits,42 but preferably the same conditions should apply at each visit. How to interpret lung function test results in asthma A low FEV1 percent predicted: • Identifies patients at risk of asthma exacerb..."
What validated clinical tools are recommended to assess and monitor asthma symptom control?,Validated symptom control tools include the Asthma Control Test (ACT) and Asthma Control Questionnaire (ACQ). Scores on these standardized questionnaires provide numerical cut-offs to categorize well-controlled vs. uncontrolled asthma.,"[GINA Asthma WMS.pdf, p. 41] 40 2. Assessment of asthma (adults, adolescents, children 6–11 years) OVERVIEW The long-term goal of asthma treatment is to achieve the best possible long-term outcomes for the patient (Box 3-2, p.55). For every patient, assessment of asthma should include the assessment of asthma control (both symptom control and future risk of adverse outcomes), treatment issues (particularly inhaler technique a... | [GINA Asthma WMS.pdf, p. 42] activity limitation due to asthma? Yes No B. Risk factors for poor asthma outcomes Assess risk factors at diagnosis and periodically, including after an exacerbation. Measure FEV1 at start of treatment, after 3–6 months of ICS-containing treatment to record the patient’s personal best lung function, then periodically for ongoing risk assessment. i. Risk factors for exacerbations Uncontrolled ast... | [WHO asthma.pdf, p. 28] For patients with moderate or severe symptoms, prompt treatment with oral corticosteroids, for example, prednisolone or dexamethasone is advised. Administration of corticosteroids significantly reduces the need for hospital admission when given within 1 hour of presentation for emergency care and reduces relapse of symptoms (26, 27). In patients who are not able to tolerate oral medication, the in... | [GINA Asthma WMS.pdf, p. 43] 42 2. Assessment of asthma (adults, adolescents, children 6–11 years) How to describe a patient’s asthma control Asthma control should be described in terms of both symptom control and future risk domains. For example: Ms X has good asthma symptom control, but she is at increased risk of future exacerbations because she has had a severe exacerbation within the last year. Mr Y has poor asthma sympt... | [GINA Asthma WMS.pdf, p. 111] 110 4. Medications (adults, adolescents and children 6–11 years) REVIEWING RESPONSE AND ADJUSTING TREATMENT – ADULTS, ADOLESCENTS AND CHILDREN 6–11 YEARS How often should asthma be reviewed? Each patient’s asthma should be reviewed regularly to monitor symptom control, risk factors and occurrence of exacerbations, and to document response to any treatment changes. For most controller medications, ..."
What is the key conceptual difference between GINA Track 1 and Track 2 treatment approaches for adults and adolescents?,"Track 1 (preferred) uses low-dose ICS-formoterol as the reliever across all steps, so taking the reliever automatically delivers controller treatment. Track 2 uses SABA as the reliever, requiring a separate daily ICS controller, but is an alternative when Track 1 is unavailable or unsuited.","[GINA Asthma WMS.pdf, p. 81] GINA Track 1 are listed in Box 4-8 (p.90). Details about treatment steps for children 6–11 years start on p.102. Box 4-3. Asthma treatment tracks for adults and adolescents Asthma treatment for adults and adolescents is in two Tracks For adults and adolescents, the main treatment figure (Box 4-6, p.83), shows the options for ongoing treatment as two treatment “tracks”. The key difference is the me... | [GINA Asthma WMS.pdf, p. 82] Track 1) Alternative INITIAL treatment (Track 2) Infrequent asthma symptoms, e.g., 2 days/week or less As-needed low-dose ICS- formoterol (Evidence A) As-needed low-dose ICS+SABA in combination or separate inhalers (Evidence B). Patients with such infrequent symptoms are highly unlikely to be adherent with daily ICS if prescribed. Asthma symptoms less than 3–5 days/week, with normal or mildly redu... | [GINA Asthma WMS.pdf, p. 85] TRACK 1 (PREFERRED): TREATMENT STEPS 1–4 FOR ADULTS AND ADOLESCENTS USING ICS-FORMOTEROL RELIEVER Track 1 is the preferred approach recommended by GINA for adults and adolescents with asthma, because using low- dose ICS formoterol (an anti-inflammatory reliever; AIR) reduces the risk of severe exacerbations, compared with regimens that use SABA as reliever, with similar symptom control and lung fu... | [GINA Asthma WMS.pdf, p. 93] TRACK 2 (ALTERNATIVE): TREATMENT STEPS 1–4 FOR ADULTS AND ADOLESCENTS USING ICS-SABA OR SABA RELIEVER This is an alternative approach if Track 1 is not possible, or if a patient’s asthma is stable with good adherence and no exacerbations on their current therapy. Box 4-9A. Track 2 (alternative) treatment Steps 1–4 for adults and adolescents with ICS-SABA reliever ICS: inhaled corticosteroid; LABA:... | [WHO asthma.pdf, p. 28] inhaled bronchodilators and systemic corticosteroids is referred to in this document as standard first-line therapy. 3.2 Long-term management of asthma The long-term management of asthma with inhaled bronchodilators and ICS has been standard practice for decades. However, evidence from large multi-centred RCTs, including mostly adults and older children, suggest that there should be changes in the..."
Why is low-dose ICS-formoterol recommended as the preferred reliever across all steps in GINA Track 1?,"Low-dose ICS-formoterol provides rapid bronchodilation equal to SABA while simultaneously delivering an anti-inflammatory dose of corticosteroid. This dramatically reduces the risk of severe exacerbations by up to 60-65% compared with SABA-only treatment, without requiring daily compliance at Step 1.","[GINA Asthma WMS.pdf, p. 81] ICS-formoterol should not be used as the reliever along with a combination ICS-non-formoterol-LABA, due to lack of evidence about efficacy and safety (p.75).327 Track 1: The reliever is as-needed low-dose ICS-formoterol This is the preferred approach recommended by GINA for adults and adolescents, because using low-dose ICS formoterol (an anti-inflammatory reliever [AIR]) reduces the risk of sever... | [GINA Asthma WMS.pdf, p. 85] FORMOTEROL RELIEVER Track 1 is the preferred approach recommended by GINA for adults and adolescents with asthma, because using low- dose ICS formoterol (an anti-inflammatory reliever; AIR) reduces the risk of severe exacerbations, compared with regimens that use SABA as reliever, with similar symptom control and lung function. In addition, the treatment regimen is simpler, with patients using a s... | [GINA Asthma WMS.pdf, p. 86] as-needed low-dose combination ICS-formoterol In Track 1, Steps 1–2, low-dose combination ICS-formoterol is used as needed for symptom relief, and before exercise or before expected allergen exposure. Information about Steps 1 and 2 below is combined, because the recommended treatment (as-needed low-dose ICS- formoterol) is the same. In Track 1, Step 1–2 treatment with as-needed-only low-dose comb... | [WHO asthma.pdf, p. 28] For patients with moderate or severe symptoms, prompt treatment with oral corticosteroids, for example, prednisolone or dexamethasone is advised. Administration of corticosteroids significantly reduces the need for hospital admission when given within 1 hour of presentation for emergency care and reduces relapse of symptoms (26, 27). In patients who are not able to tolerate oral medication, the in... | [GINA Asthma WMS.pdf, p. 87] 86 4. Medications (adults, adolescents) • A post hoc analysis of one study336 found that a day with >2 doses of as-needed budesonide-formoterol reduced the short-term (21 day) risk of severe exacerbations, compared with as needed terbutaline alone, suggesting that timing of use of ICS-formoterol is important.144 • No new safety signals were seen with as-needed budesonide-formoterol in these studie..."
What is the stepwise controller algorithm for adults and adolescents in GINA Track 1 from Step 1 to Step 5?,Step 1-2: As-needed low-dose ICS-formoterol. Step 3: Low-dose maintenance and reliever ICS-formoterol (MART). Step 4: Medium-dose maintenance and reliever ICS-formoterol. Step 5: High-dose maintenance ICS-formoterol plus add-on LAMA or phenotyping for biologic therapy.,"[GINA Asthma WMS.pdf, p. 85] STEPS 1–4 FOR ADULTS AND ADOLESCENTS USING ICS-FORMOTEROL RELIEVER Track 1 is the preferred approach recommended by GINA for adults and adolescents with asthma, because using low- dose ICS formoterol (an anti-inflammatory reliever; AIR) reduces the risk of severe exacerbations, compared with regimens that use SABA as reliever, with similar symptom control and lung function. In addition, the treatm... | [GINA Asthma WMS.pdf, p. 86] Step 1–2 treatment for adults and adolescents: as-needed low-dose combination ICS-formoterol In Track 1, Steps 1–2, low-dose combination ICS-formoterol is used as needed for symptom relief, and before exercise or before expected allergen exposure. Information about Steps 1 and 2 below is combined, because the recommended treatment (as-needed low-dose ICS- formoterol) is the same. In Track 1, Step ... | [GINA Asthma WMS.pdf, p. 87] Steps 1–2 The most important considerations for GINA are: • The need to prevent severe exacerbations in patients with mild or infrequent symptoms; these can occur with unpredictable triggers such as viral infection, allergen exposure, pollution or stress. • The desire to avoid the need for daily ICS in patients with mild asthma, who in clinical practice are often poorly adherent with prescribed IC... | [GINA Asthma WMS.pdf, p. 99] STEP 5 (TRACKS 1 AND 2) IN ADULTS AND ADOLESCENTS Preferred treatment at Step 5 in adults and adolescents: refer for expert assessment, phenotyping, and add-on therapy (for more details, see Section 8, p.149) Patients of any age with persistent symptoms or exacerbations despite correct inhaler technique and good adherence on Step 4 treatment, should be referred promptly to a clinician with experti... | [WHO asthma.pdf, p. 28] For patients with moderate or severe symptoms, prompt treatment with oral corticosteroids, for example, prednisolone or dexamethasone is advised. Administration of corticosteroids significantly reduces the need for hospital admission when given within 1 hour of presentation for emergency care and reduces relapse of symptoms (26, 27). In patients who are not able to tolerate oral medication, the in..."
How is initial controller treatment selected for an adult presenting with newly diagnosed asthma?,Initial controller is selected based on initial symptom frequency: Infrequent symptoms (< 2/month): Step 1-2 as-needed ICS-formoterol. Symptoms >= 2/month but < daily: Step 2. Daily symptoms or waking with asthma >= 1/week: Step 3 (low-dose MART). Severely uncontrolled or acute presentation: Step 4 (medium-dose MART) plus short course OCS.,"[GINA Asthma WMS.pdf, p. 82] 4. Medications (adults, adolescents) 81 INITIAL ASTHMA TREATMENT FOR ADULTS AND ADOLESCENTS Box 4-4. Initial asthma treatment for adults and adolescents with a diagnosis of asthma These recommendations are based on evidence, where available, and on consensus. Presenting symptoms Preferred INITIAL treatment (Track 1) Alternative INITIAL treatment (Track 2) Infrequent asthma symptoms, e.g., 2 days/w... | [GINA Asthma WMS.pdf, p. 83] 82 4. Medications (adults, adolescents) Box 4-5. Flowchart for selecting initial treatment in adults and adolescents with a diagnosis of asthma *AIR: anti-inflammatory reliever; ICS: inhaled corticosteroids; LABA: long-acting β2-agonist; MART: maintenance-and-reliever therapy with ICS-formoterol; SABA: short-acting β2-agonist.These recommendations are based on evidence, where available, and on con... | [GINA Asthma WMS.pdf, p. 84] 4. Medications (adults, adolescents) 83 ASTHMA TREATMENT STEPS IN ADULTS AND ADOLESCENTS Box 4-6. Personalized management for adults and adolescents to control symptoms and minimize future risk *AIR: Anti-inflammatory reliever; Ig: immunoglobulin; ICS: inhaled corticosteroids; HDM: house dust mite; IL: interleukin; LABA: long-acting β2-agonist; LAMA: long-acting muscarinic antagonist; MART: mainte... | [WHO asthma.pdf, p. 28] initial treatment of acute asthma with inhaled bronchodilators and systemic corticosteroids is referred to in this document as standard first-line therapy. 3.2 Long-term management of asthma The long-term management of asthma with inhaled bronchodilators and ICS has been standard practice for decades. However, evidence from large multi-centred RCTs, including mostly adults and older children, sugg... | [GINA Asthma WMS.pdf, p. 85] 84 4. Medications (adults, adolescents) TRACK 1 (PREFERRED): TREATMENT STEPS 1–4 FOR ADULTS AND ADOLESCENTS USING ICS-FORMOTEROL RELIEVER Track 1 is the preferred approach recommended by GINA for adults and adolescents with asthma, because using low- dose ICS formoterol (an anti-inflammatory reliever; AIR) reduces the risk of severe exacerbations, compared with regimens that use SABA as reliever, ..."
